Country or territory (FAOSTAT name),Country group
Afghanistan,Developing Asian
Albania,Transition Economies
Algeria,Developing Other
American Samoa,Developing Tropical
Andorra,Developed Temperate
Angola,Developing Tropical
Anguilla,Developing Tropical
Antigua and Barbuda,Developing Tropical
Argentina,Developing Other
Armenia,Transition Economies
Aruba,Developing Tropical
"Ascension, Saint Helena and Tristan da Cunha",Developing Tropical
Australia,Developed Temperate
Austria,Developed Temperate
Azerbaijan,Transition Economies
Bahamas,Developing Tropical
Bahrain,Developing Other
Bangladesh,Developing Asian
Barbados,Developing Tropical
Belarus,Transition Economies
Belgium,Developed Temperate
Belgium-Luxembourg,Developed Temperate
Belize,Developing Tropical
Benin,Developing Tropical
Bermuda,Developed Temperate
Bhutan,Developing Asian
Bolivia (Plurinational State of),Developing Tropical
Bosnia and Herzegovina,Transition Economies
Botswana,Developing Tropical
Brazil,Developing Tropical
British Virgin Islands,Developing Tropical
Brunei Darussalam,Developing Asian
Bulgaria,Developed Temperate
Burkina Faso,Developing Tropical
Burundi,Developing Tropical
Cabo Verde,Developing Tropical
Cambodia,Developing Asian
Cameroon,Developing Tropical
Canada,Developed Temperate
Cayman Islands,Developing Tropical
Central African Republic,Developing Tropical
Chad,Developing Tropical
Chile,Developing Other
"China, Hong Kong SAR",Developed Temperate
"China, Macao SAR",Developed Temperate
"China, Taiwan Province of",Developed Temperate
"China, mainland",Developing Asian
Christmas Island,Developed Temperate
Cocos (Keeling) Islands,Developed Temperate
Colombia,Developing Tropical
Comoros,Developing Tropical
Congo,Developing Tropical
Cook Islands,Developing Tropical
Costa Rica,Developing Tropical
Croatia,Developed Temperate
Cuba,Developing Tropical
Curaçao,Developing Tropical
Cyprus,Developed Temperate
Czechia,Developed Temperate
Czechoslovakia,Transition Economies
Côte d'Ivoire,Developing Tropical
Democratic People's Republic of Korea,Developing Asian
Democratic Republic of the Congo,Developing Tropical
Denmark,Developed Temperate
Djibouti,Developing Tropical
Dominica,Developing Tropical
Dominican Republic,Developing Tropical
Ecuador,Developing Tropical
Egypt,Developing Other
El Salvador,Developing Tropical
Equatorial Guinea,Developing Tropical
Eritrea,Developing Tropical
Estonia,Developed Temperate
Eswatini,Developing Tropical
Ethiopia,Developing Tropical
Ethiopia PDR,Developing Tropical
Falkland Islands (Malvinas),Developing Other
Faroe Islands,Developed Temperate
Fiji,Developing Tropical
Finland,Developed Temperate
France,Developed Temperate
French Guiana,Developing Tropical
French Polynesia,Developing Tropical
French Southern Territories,Developing Other
Gabon,Developing Tropical
Gambia,Developing Tropical
Georgia,Transition Economies
Germany,Developed Temperate
Ghana,Developing Tropical
Gibraltar,Developed Temperate
Greece,Developed Temperate
Greenland,Developed Temperate
Grenada,Developing Tropical
Guadeloupe,Developing Tropical
Guam,Developing Tropical
Guatemala,Developing Tropical
Guinea,Developing Tropical
Guinea-Bissau,Developing Tropical
Guyana,Developing Tropical
Haiti,Developing Tropical
Honduras,Developing Tropical
Hungary,Developed Temperate
Iceland,Developed Temperate
India,Developing Asian
Indonesia,Developing Asian
Iran (Islamic Republic of),Developing Other
Iraq,Developing Other
Ireland,Developed Temperate
Israel,Developed Temperate
Italy,Developed Temperate
